_id,url,category,price,scraped_from,status,title
68bdd561c6bcae1a3cbeb397,https://www.startech.com.bd/chuwi-corebook-x-laptop,chuwi-laptop,"51,900৳",https://www.startech.com.bd/chuwi-laptop,N/A,"Chuwi CoreBook X Core i3 12th Gen 14"" 2K QHD Laptop"
68bdd561c6bcae1a3cbeb398,https://www.startech.com.bd/chuwi-corebook-x-7430u-laptop,chuwi-laptop,"54,900৳",https://www.startech.com.bd/chuwi-laptop,N/A,"Chuwi CoreBook X Ryzen 5 7430U 14"" 2K QHD Laptop"
68bdd561c6bcae1a3cbeb399,https://www.startech.com.bd/chuwi-freebook-laptop,chuwi-laptop,Up Coming,https://www.startech.com.bd/chuwi-laptop,Up Coming,"Chuwi FreeBook Celeron N150 13th Gen 13.5"" 2K Touch Laptop"
68bdd561c6bcae1a3cbeb39a,https://www.startech.com.bd/chuwi-gemibook-xpro-laptop,chuwi-laptop,Out Of Stock,https://www.startech.com.bd/chuwi-laptop,Out Of Stock,Chuwi GemiBook XPro Intel Celeron N100 14.1 inch Full HD Laptop
68bdd561c6bcae1a3cbeb39b,https://www.startech.com.bd/chuwi-corebook-xpro-core-i3-laptop,chuwi-laptop,Out Of Stock,https://www.startech.com.bd/chuwi-laptop,Out Of Stock,"Chuwi CoreBook XPro Intel core i3 15.6"" FHD Laptop"
68bdd562c6bcae1a3cbeb39c,https://www.startech.com.bd/chuwi-corebook-xpro-core-i5-12th-gen-fhd-laptop,chuwi-laptop,Out Of Stock,https://www.startech.com.bd/chuwi-laptop,Out Of Stock,"Chuwi CoreBook XPro Core i5 12th Gen 15.6"" FHD Laptop"
68bdd562c6bcae1a3cbeb39d,https://www.startech.com.bd/chuwi-hi10-max-tablet,chuwi-tablet-pc,"42,500৳ 44,900৳",https://www.startech.com.bd/chuwi-tablet-pc,N/A,Chuwi Hi10 Max Tablet
68bdd562c6bcae1a3cbeb39e,https://www.startech.com.bd/chuwi-hi10-xpro-tablet,chuwi-tablet-pc,Up Coming,https://www.startech.com.bd/chuwi-tablet-pc,Up Coming,Chuwi Hi10 XPro Tablet
68bdd5aec6bcae1a3cbeb39f,https://www.startech.com.bd/cisco-business-150ax-wi-fi-6-access-point,cisco-access-point,"19,500৳",https://www.startech.com.bd/cisco-access-point,N/A,Cisco Business 150AX AX1480 Dual Band Wi-Fi 6 Access Point
68bdd5aec6bcae1a3cbeb3a0,https://www.startech.com.bd/cisco-cp-3905-unified-ip-phone,cisco-ip-phone,Out Of Stock,https://www.startech.com.bd/cisco-ip-phone,Out Of Stock,Cisco CP-3905 Unified IP Phone
68bdd5aec6bcae1a3cbeb3a1,https://www.startech.com.bd/cisco-6821-ip-phone,cisco-ip-phone,Out Of Stock,https://www.startech.com.bd/cisco-ip-phone,Out Of Stock,Cisco 6821 IP Phone for MPP Systems
68bdd5aec6bcae1a3cbeb3a2,https://www.startech.com.bd/cisco-8811-ip-phone,cisco-ip-phone,Out Of Stock,https://www.startech.com.bd/cisco-ip-phone,Out Of Stock,Cisco 8811 IP Phone with Multiplatform Phone Firmware
68bdd5afc6bcae1a3cbeb3a3,https://www.startech.com.bd/cisco-7821-ip-phone,cisco-ip-phone,Out Of Stock,https://www.startech.com.bd/cisco-ip-phone,Out Of Stock,Cisco 7821 IP Phone with Multiplatform Phone firmware
68bdd5afc6bcae1a3cbeb3a4,https://www.startech.com.bd/cisco-8845-ip-phone,cisco-ip-phone,Out Of Stock,https://www.startech.com.bd/cisco-ip-phone,Out Of Stock,Cisco 8845 IP Phone with Camera
68bdd5afc6bcae1a3cbeb3a5,https://www.startech.com.bd/citizen-ct-d150-thermal-receipt-pos-printer,citizen-pos-printer,"15,000৳",https://www.startech.com.bd/citizen-pos-printer,N/A,Citizen CT-D150 Thermal Receipt POS Printer
68bdd5afc6bcae1a3cbeb3a6,https://www.startech.com.bd/citizen-cl-e321-label-printer,citizen-pos-printer,"37,000৳",https://www.startech.com.bd/citizen-pos-printer,N/A,Citizen CL-E321XUBNNA Barcode Label Printer
68bdd5afc6bcae1a3cbeb3a7,https://www.startech.com.bd/microsoft-365-f1,software,"2,995৳",https://www.startech.com.bd/software,N/A,Microsoft 365 F1 (1 Year Subscription)
68bdd5afc6bcae1a3cbeb3a8,https://www.startech.com.bd/office-365-business-essential,software,"4,450৳",https://www.startech.com.bd/software,N/A,Microsoft 365 Business Basic (1 Year Subscription)
68bdd5afc6bcae1a3cbeb3a9,https://www.startech.com.bd/microsoft-office-365-f3,software,"5,250৳",https://www.startech.com.bd/software,N/A,Office 365 F3 (1 Year Subscription)
68bdd5afc6bcae1a3cbeb3aa,https://www.startech.com.bd/microsoft-365-f3,software,"10,390৳",https://www.startech.com.bd/software,N/A,Microsoft 365 F3 (1 Year Subscription)
68bdd5afc6bcae1a3cbeb3ab,https://www.startech.com.bd/microsoft-office-365-enterprise-e1,software,"14,055৳",https://www.startech.com.bd/software,N/A,Office 365 Enterprise E1 (1 Year Subscription)
68bdd5afc6bcae1a3cbeb3ac,https://www.startech.com.bd/ms-office-365,cloud-solution,"14,500৳",https://www.startech.com.bd/cloud-solution,N/A,Microsoft 365 Apps for Business (1 Year Subscription)
